joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
Mandela Keita,BEL,MT,Parma,22.0,2002,21.0,15.0,1099.0,12.2,0.0,2.0,2.0,0.0,0.0,0.0,6.0,1.0,0.1,0.1,1.0,1.1,8.0,35.0,5.0,0.0,0.16,0.16,0.0,0.16,0.0,0.08,0.09,0.0,0.09
Lloyd Kelly,ENG,DF,Juventus,26.0,1998,6.0,5.0,478.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,3.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
Marc-Oliver Kempf,GER,DF,Como,30.0,1995,24.0,23.0,1985.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.1,1.1,1.2,2.3,14.0,72.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1
Kialonda,ANG,DF,Lecce,27.0,1997,16.0,16.0,1440.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.3,1.3,3.0,19.0,3.0,0.0,0.06,0.06,0.0,0.06,0.06,0.02,0.08,0.06,0.08
Magnus Kofod Andersen,DEN,MT,Venezia,25.0,1999,14.0,7.0,695.0,7.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.7,7.0,24.0,18.0,0.13,0.13,0.26,0.13,0.26,0.04,0.06,0.1,0.04,0.1
Sead Kolašinac,BIH,DF,Atalanta,31.0,1993,21.0,21.0,1769.0,19.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.8,0.8,1.7,2.5,48.0,129.0,42.0,0.0,0.1,0.1,0.0,0.1,0.04,0.08,0.12,0.04,0.12
Randal Kolo Muani,FRA,AT,Juventus,26.0,1998,8.0,7.0,625.0,6.9,5.0,1.0,6.0,4.0,1.0,1.0,0.0,0.0,2.6,1.8,0.6,2.4,9.0,9.0,58.0,0.72,0.14,0.86,0.58,0.72,0.37,0.09,0.46,0.26,0.35
Ismael Konate,CIV,"AT,MT",Empoli,19.0,2006,8.0,0.0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17
Manu Koné,FRA,MT,Roma,23.0,2001,26.0,23.0,1881.0,20.9,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.9,2.9,1.3,4.2,48.0,102.0,36.0,0.1,0.05,0.14,0.1,0.14,0.14,0.06,0.2,0.14,0.2
Teun Koopmeiners,NED,"MT,AT",Juventus,27.0,1998,26.0,22.0,1906.0,21.2,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,3.6,3.6,2.7,6.4,30.0,85.0,113.0,0.09,0.14,0.24,0.09,0.24,0.17,0.13,0.3,0.17,0.3
Odilon Kossounou,CIV,DF,Atalanta,24.0,2001,12.0,7.0,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.6,11.0,29.0,9.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
Christian Kouamé,CIV,"AT,MT",Fiorentina,27.0,1997,18.0,5.0,622.0,6.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,1.5,2.5,7.0,16.0,46.0,0.0,0.14,0.14,0.0,0.14,0.15,0.21,0.37,0.15,0.37
Christian Kouamé,CIV,AT,Empoli,27.0,1997,7.0,4.0,438.0,4.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.5,2.5,0.7,3.2,4.0,11.0,32.0,0.21,0.0,0.21,0.21,0.21,0.52,0.14,0.65,0.52,0.65
Viktor Kovalenko,UKR,"MT,DF",Empoli,29.0,1996,4.0,0.0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
